bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
23211,68,26.57,0,1,240.63,11.29
22453,52,27.12,1,0,240.63,11.06
24006,62,26.13,1,0,240.65,11.48
29798,22,28.02,1,0,240.67,10.71
21044,46,27.37,1,0,240.67,10.96
12801,45,28.47,0,1,240.68,10.54
25217,46,28.37,0,1,240.7,10.57
29230,45,30.08,1,0,240.7,9.97
23270,53,28.47,1,0,240.7,10.54
27674,44,26.45,1,0,240.7,11.34
23482,57,26.85,1,0,240.73,11.17
22658,48,28.85,1,0,240.73,10.4
30526,43,28.72,0,1,240.73,10.45
21437,64,26.17,0,1,240.73,11.46
27377,42,28.57,1,0,240.73,10.5
18379,56,24.52,0,1,240.75,12.23
21679,62,27.2,0,1,240.75,11.03
20095,46,25.9,1,0,240.75,11.58
10298,49,26.23,0,1,240.75,11.44
22652,66,28.67,0,1,240.77,10.46
21833,48,25.52,1,0,240.77,11.76
29572,22,29.92,1,0,240.77,10.03
18818,56,26.22,1,0,240.77,11.44
9441,42,22.78,0,1,240.78,13.17
21607,45,27.62,1,0,240.8,10.86
25033,32,27.85,1,0,240.82,10.77
21911,50,27.75,1,0,240.82,10.81
18779,61,26.38,0,1,240.82,11.37
21365,60,27.97,0,1,240.82,10.73
22262,62,27.77,0,1,240.82,10.8
26636,36,26.12,1,0,240.82,11.49
22452,51,27.52,1,0,240.83,10.9
22573,46,28.0,1,0,240.85,10.71
23033,53,27.43,1,0,240.87,10.94
24324,75,27.6,0,1,240.87,10.87
29726,51,27.65,0,1,240.87,10.85
22129,70,27.22,0,1,240.9,11.02
19809,44,27.48,1,0,240.9,10.92
24868,45,26.23,0,1,240.9,11.44
18627,38,27.78,1,0,240.92,10.8
20679,44,26.47,1,0,240.93,11.33
24151,60,26.58,1,0,240.93,11.29
17357,58,26.88,0,1,240.93,11.16
29313,33,27.47,1,0,240.93,10.92
24729,42,26.53,0,1,240.93,11.31
22786,54,26.05,1,0,240.95,11.52
22236,63,28.38,0,1,240.97,10.57
24104,60,28.07,1,0,240.97,10.69
21965,53,27.45,1,0,240.98,10.93
22085,51,27.65,1,0,240.98,10.85
22673,46,26.88,1,0,241.0,11.16
30602,43,30.78,0,1,241.0,9.75
19980,47,28.63,1,0,241.0,10.48
15819,57,29.97,1,0,241.02,10.01
21739,51,27.53,1,0,241.02,10.9
23587,59,29.13,1,0,241.02,10.3
24665,57,27.88,0,1,241.03,10.76
23093,65,26.5,0,1,241.05,11.32
7704,49,25.48,1,0,241.05,11.77
23017,54,26.87,1,0,241.05,11.16
9145,43,25.5,0,1,241.07,11.76
23751,70,27.48,0,1,241.07,10.92
20816,64,26.23,0,1,241.07,11.44
9603,42,23.63,0,1,241.08,12.7
23366,55,27.43,1,0,241.08,10.94
21200,46,28.3,1,0,241.08,10.6
